dialog_key,annot_relevant_mean,score_PMI_Pair,score_MINE_Pair,score_InfoNCE_Pair,score_PMI_Prompt,score_MINE_Prompt,score_InfoNCE_Prompt,score_KDE_Pair,score_KDE_Prompt
human|zh/KdConv/KdConv-turn_eval.json,5.0,13.195393,12.266127,0.900732,1.6232493,-14.919252,2.6903553,1.1999574,-0.50680983
human|zh/KdConv/KdConv-turn_eval.json,5.0,16.426567,17.781635,7.0300584,1.6828018,-8.833616,0.7558993,2.4364197,1.3355849
human|zh/KdConv/KdConv-turn_eval.json,5.0,17.283123,18.317122,10.322182,3.9835706,11.123617,5.0906043,1.7959958,1.8766795
human|zh/KdConv/KdConv-turn_eval.json,4.0,18.538345,19.63731,10.0213,1.4484403,-12.6191,-1.0081217,2.4799185,-0.44172308
human|zh/KdConv/KdConv-turn_eval.json,5.0,9.4304495,-1.0063088,-2.792575,2.7998605,7.509719,-1.5327375,0.72159827,-0.43500197
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.365324,19.89247,8.204178,5.2789373,15.147939,3.5084581,2.1017752,1.298147
human|zh/KdConv/KdConv-turn_eval.json,3.333333333333333,19.213335,19.811268,6.693202,1.2438701,-15.544788,-4.620038,0.98800933,-0.58554375
human|zh/KdConv/KdConv-turn_eval.json,5.0,17.967478,18.70831,-1.933701,3.8784947,11.766262,3.8653226,0.484086,-0.6831245
human|zh/KdConv/KdConv-turn_eval.json,3.333333333333333,19.777554,19.980827,13.042751,0.43095353,-17.208008,-4.7775407,2.091217,-1.2484373
human|zh/KdConv/KdConv-turn_eval.json,5.0,17.361534,16.259708,-2.017795,5.123678,13.500705,5.2876687,1.4562769,3.0972
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.409004,19.850994,7.3535676,3.3395948,5.868512,2.5879881,1.6789696,1.3077282
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.154343,19.731699,11.671822,4.516352,14.380514,2.5631711,1.8894085,2.139444
human|zh/KdConv/KdConv-turn_eval.json,4.666666666666667,19.382002,19.953497,7.3559947,2.695075,-7.7019644,0.72855943,2.37117,1.227152
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.78399,19.989368,9.217079,3.1184587,3.1438134,0.057438426,2.4932773,0.17859106
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.84452,19.98828,12.251988,1.789521,-9.854788,-0.7266169,2.7427936,0.15734752
human|zh/KdConv/KdConv-turn_eval.json,5.0,-6.5043283,-18.108088,-6.2625475,2.6075268,-8.43196,4.9490423,-0.5261561,-1.1315761
human|zh/KdConv/KdConv-turn_eval.json,5.0,15.473522,15.705755,0.7866454,4.884655,13.975069,8.050614,1.434737,0.83491635
human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333,18.137646,19.42025,7.4727273,5.038795,12.152987,-0.1599381,1.7102517,2.0676858
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.18553,19.391039,10.400974,5.480258,16.131025,2.4317753,-0.017523134,0.77632457
human|zh/KdConv/KdConv-turn_eval.json,4.0,16.36869,17.942812,-0.3116025,4.7142115,7.672783,-0.016048785,2.0931993,1.4919033
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.393238,19.62763,7.947547,5.2847853,14.366955,3.077183,0.5061631,2.5723975
human|zh/KdConv/KdConv-turn_eval.json,3.333333333333333,19.184853,19.794678,-1.1312485,2.3276796,-8.259186,0.43055344,4.340139,0.07714142
human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333,13.191028,10.341883,-0.75836694,2.2271156,-8.393012,2.0242617,1.3635089,-0.83932996
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.953848,19.692684,7.587359,1.8984772,-12.56806,1.6737518,1.5956389,0.1879523
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.002087,19.869486,7.763564,5.253744,14.478851,6.152051,4.599908,-0.44208366
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.698248,19.963934,9.330235,1.7158625,-3.267714,-1.1395335,3.1450636,-1.3328552
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.640606,19.972418,13.189859,3.9901707,14.881685,0.007854968,2.964184,-0.8903878
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.387829,19.04947,1.549914,1.2601271,-3.447243,-5.0852103,3.8603883,-1.2281883
human|zh/KdConv/KdConv-turn_eval.json,5.0,18.385908,19.525856,9.017705,4.835866,16.171911,7.2987347,0.9216714,-2.2219965
human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333,18.641394,19.60589,10.000354,4.893138,15.002939,6.0477304,2.1817946,0.35607168
human|zh/KdConv/KdConv-turn_eval.json,4.333333333333333,19.501888,19.905184,11.127453,2.343151,2.444941,-1.3416529,2.3552284,-0.5398736
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.107395,19.908905,11.467697,3.3865354,9.184078,3.888371,1.8782715,0.8872253
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.175184,19.846313,11.091339,2.605505,1.9217551,1.34098,1.8682613,-0.11621313
human|zh/KdConv/KdConv-turn_eval.json,4.0,16.459633,17.635382,0.17903763,2.0608761,-11.068737,0.31708813,0.89251727,-0.3321855
human|zh/KdConv/KdConv-turn_eval.json,5.0,16.621054,18.50776,1.1070775,3.9273996,6.647526,3.729354,1.1275733,0.9290707
human|zh/KdConv/KdConv-turn_eval.json,5.0,16.243767,16.33642,-3.0493288,2.6505952,-6.912383,0.10038333,0.450666,0.6643023
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.714102,19.967955,11.561062,3.508806,6.526621,1.6219516,0.6126129,2.3420715
human|zh/KdConv/KdConv-turn_eval.json,3.333333333333333,11.668203,15.1972065,1.8684648,2.5042877,-7.3587775,2.7449112,0.615165,-1.0867957
human|zh/KdConv/KdConv-turn_eval.json,5.0,2.557755,-15.976783,-4.4137797,0.727998,-17.614706,1.8293593,-0.39036667,-0.010361248
human|zh/KdConv/KdConv-turn_eval.json,5.0,13.388159,8.258731,-0.23428278,2.7429342,-7.18892,3.4923208,0.21344258,-0.4359321
human|zh/KdConv/KdConv-turn_eval.json,5.0,8.371913,5.152635,-0.22458456,3.4649887,3.0228326,2.7892137,-0.05473721,0.08112243
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.284044,19.873127,12.155401,2.933624,-10.065169,2.2681098,1.3313005,-0.3568363
human|zh/KdConv/KdConv-turn_eval.json,5.0,19.334911,19.916092,11.871023,5.705739,14.89381,6.312401,3.482578,-0.20173831
