Dataset_Type,Dataset,Model,Method,Round,AUC,Spearman_PMI,Pearson_PMI,MSE_PMI,Spearman_Relevant,Pearson_Relevant,Spearman_Engaging,Pearson_Engaging
Synthetic,diagonal,Qwen3-4B,Direct_MEEP,1,0.579738919247116,0.0425846708083853,0.08746899363903493,5.801312635743104,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Pair,1,0.8676001666666666,0.34536662198911133,0.6320062985658019,1.593393329886861,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Pair,1,0.8592048333333334,0.3717702567211741,0.4992801553379253,57.39151197255242,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Pair,1,0.8490575,0.19422162511328941,0.46933166622569605,5.774037067652739,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Prompt,1,0.844438,0.465879576899743,0.6203563763171572,2.362589230087476,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Prompt,1,0.8507763333333334,0.43487390135755305,0.5932252212460759,35.35194521092998,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Prompt,1,0.8219166666666666,0.1910495506946117,0.5601320796418852,5.253230889816059,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Pair,1,0.8365011666666666,0.36154938381894214,0.4856361608788747,10.03869448383283,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Prompt,1,0.8320820000000001,0.4095287292365298,0.5480803529955015,5.659312616794623,,,,
Synthetic,diagonal,Qwen3-4B,Direct_MEEP,2,0.5389278372120874,0.028577869986200887,0.06923777942781027,5.830474663297257,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Pair,2,0.8658873333333333,0.40577155831252193,0.5781519969778007,2.372955824420553,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Pair,2,0.863407,0.4697753339236631,0.5528552199435597,38.888645401601735,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Pair,2,0.8426606666666666,0.2181866892914965,0.48897838630241114,7.671342822983711,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Prompt,2,0.8456364999999999,0.4597923840337305,0.6373374705237127,1.6998739804082041,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Prompt,2,0.8544821666666667,0.4453284319462292,0.630684374765371,11.594058937307622,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Prompt,2,0.8245628333333334,0.18810229405690757,0.5360944073825807,7.230903592845065,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Pair,2,0.8279483333333333,0.34871489272534745,0.49176241369130275,10.115948287855314,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Prompt,2,0.8292318333333335,0.3664133467495592,0.5530641597652721,5.722888119546475,,,,
Synthetic,diagonal,Qwen3-0.6B,Direct_MEEP,3,0.5473992942677701,-0.002613123646719173,0.03684722756427886,5.976131506238607,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Pair,3,0.8554174999999999,0.47573301587730793,0.5454665546424782,6.361925908922402,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Pair,3,0.8494364999999999,0.4299990258986889,0.5871071531891113,107.20630924845574,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Pair,3,0.8331471666666667,0.29291873726793227,0.4480305628497952,16.188271418728256,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Prompt,3,0.8107128333333333,0.3630319335205083,0.516909680500585,3.450371579093326,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Prompt,3,0.8212538333333333,0.35504525243210816,0.48748910065370776,219.74426745825411,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Prompt,3,0.7928151666666666,0.07980338935059768,0.4034272666005167,4.868628268829714,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Pair,3,0.8390868333333334,0.2501669078451666,0.433688234836501,5.208585906030648,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Prompt,3,0.7710938333333334,0.24268827892382602,0.38175661340643874,8.30944693560536,,,,
Synthetic,diagonal,Qwen3-0.6B,Direct_MEEP,4,0.5273725721364533,0.023867526397671028,0.036282790868447205,5.973898871149795,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Pair,4,0.8573816666666666,0.5069765286335582,0.5151950177263905,11.609745826434462,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Pair,4,0.8424236666666667,0.3725988928031468,0.3278991220247165,261.7281061174573,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Pair,4,0.8368656666666667,0.26928946881117155,0.42857939233891434,14.25022983681055,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Prompt,4,0.8137713333333333,0.3769740458403924,0.5137608887228564,4.112221705119515,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Prompt,4,0.8311328333333334,0.40254381717030346,0.5543487955911606,3.647094499701222,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Prompt,4,0.7973791666666667,0.09044225132873071,0.42101079357137483,3.186851190569205,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Pair,4,0.8392923333333333,0.2826951739923872,0.4653870700865957,5.200078668384212,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Prompt,4,0.7712081666666666,0.2629042175676829,0.3931507391606855,8.300888166487864,,,,
Synthetic,diagonal,Qwen3-0.6B,Direct_MEEP,5,0.5412413280702427,-0.010435664230250741,-0.017820569314506294,6.100683393940232,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Pair,5,0.7032438333333333,-0.1076221214418949,0.01786194219140041,4.47414968008745,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Pair,5,0.8466475,0.38392967816686835,0.41907616685305604,157.24437582362467,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Pair,5,0.8375028333333333,0.2637250410399579,0.47021670019792483,13.417909001446432,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Prompt,5,0.8113918333333333,0.36379584415670374,0.5386725917011761,2.020283021452572,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Prompt,5,0.8239131666666667,0.40174280938426254,0.5123034397454908,26.449336134987973,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Prompt,5,0.7797041666666666,0.0556578241555946,0.37989381098837677,9.386101556551225,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Pair,5,0.8379655,0.2797874979315528,0.48285284357213415,5.137390148450589,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Prompt,5,0.774167,0.2677916524880027,0.38582056628420913,8.307234937642406,,,,
Synthetic,diagonal,Qwen3-0.6B,Direct_MEEP,1,0.5316657085514305,-0.0073919464995163536,0.0262113267542525,6.004470644187179,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Pair,1,0.857488,0.3952888049813046,0.5200759750456301,7.820748144995689,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Pair,1,0.8427056666666667,0.4428223986890601,0.3824485400038201,199.03880036112287,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Pair,1,0.837809,0.2801341018136017,0.45465447270890574,12.532353328570753,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Prompt,1,0.8060696666666667,0.3562483168608583,0.5170320381509566,4.009032324477294,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Prompt,1,0.8198479999999999,0.31396891467745924,0.5285821544996896,3.503520407433468,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Prompt,1,0.789819,0.13588236444750124,0.3775879993469699,5.62156404898375,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Pair,1,0.8339530000000002,0.30313939403725504,0.4813793374648667,5.121053000011858,,,,
Synthetic,diagonal,Qwen3-0.6B,KDE_Prompt,1,0.7709591666666668,0.2764133087025209,0.3671461840323233,8.383616752628633,,,,
Synthetic,diagonal,Qwen3-0.6B,Direct_MEEP,2,0.5400124155307002,0.028566094932950016,0.021011521260511118,6.049973527483458,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Pair,2,0.8561581666666667,0.48477879891258857,0.5933051552957774,4.960430112146272,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Pair,2,0.8355936666666667,0.39813762730618685,0.3987962601553177,179.24708740559646,,,,
Synthetic,diagonal,Qwen3-0.6B,InfoNCE_Pair,2,0.8190388333333333,0.20649300892772937,0.400440581470546,18.603339306825685,,,,
Synthetic,diagonal,Qwen3-0.6B,PMI_Prompt,2,0.807279,0.3691268408696655,0.5365759594253405,2.4596325403305705,,,,
Synthetic,diagonal,Qwen3-0.6B,MINE_Prompt,2,0.8246016666666667,0.36238386705623765,0.5094277253999104,39.88280191255992,,,,
