Dataset_Type,Dataset,Model,Method,AUC_mean,AUC_std,Spearman_PMI_mean,Spearman_PMI_std,Pearson_PMI_mean,Pearson_PMI_std,MSE_PMI_mean,MSE_PMI_std,Spearman_Relevant_mean,Spearman_Relevant_std,Pearson_Relevant_mean,Pearson_Relevant_std,Spearman_Engaging_mean,Spearman_Engaging_std,Pearson_Engaging_mean,Pearson_Engaging_std
Empirical,en,Phi-4-mini-instruct,Direct_MEEP,0.6732300775181076,0.010175916807754235,,,,,,,0.3347415510615796,0.08539239912702992,0.3112454655869063,0.12019405267003556,0.3774349682243219,0.07314446213986806,0.36374922447488656,0.07300585595331222
Empirical,en,Phi-4-mini-instruct,InfoNCE_Pair,0.8352156,0.010252655513464765,,,,,,,0.12933838897487876,0.13625167217204706,0.135275630002924,0.08480828324984484,0.1234960453615731,0.0455196581901035,0.1339071536942297,0.05344922700649464
Empirical,en,Phi-4-mini-instruct,InfoNCE_Prompt,0.9186681,0.0016855776771052585,,,,,,,0.43612636893454726,0.07538736137304364,0.492144049249539,0.08791454735444389,0.3281722599944693,0.10956290405012074,0.35362467699558287,0.09698969319337483
Empirical,en,Phi-4-mini-instruct,KDE_Pair,0.8094967333333333,0.0021006832935975737,,,,,,,-0.04284175192100448,0.12193502824524483,-0.014170902544924664,0.10146480792051357,0.04640764724864861,0.04457125874528334,0.017372430429231988,0.053964161390026306
Empirical,en,Phi-4-mini-instruct,KDE_Prompt,0.8814282666666667,0.001962805976147353,,,,,,,0.48245975049044443,0.05216244343800099,0.5119694855223879,0.06493402203599391,0.4442096448921905,0.08910884541172989,0.4097741486014444,0.07674006908465505
Empirical,en,Phi-4-mini-instruct,MINE_Pair,0.8394073333333333,0.006359115229338101,,,,,,,0.13147199522498315,0.09850611338762622,0.10053408001931585,0.05074042814817248,0.11654570615331745,0.04927770319296518,0.09703331101101191,0.05970712211317596
Empirical,en,Phi-4-mini-instruct,MINE_Prompt,0.9099787333333333,0.004547561725498881,,,,,,,0.37915752137921227,0.1066838140221466,0.32726988843852894,0.10314490831138541,0.3091716937380265,0.13600601581224434,0.29196119114628843,0.12035310987488114
Empirical,en,Phi-4-mini-instruct,PMI_Pair,0.8412438,0.007982207608870532,,,,,,,0.10208490294119858,0.11844151809399298,0.0931675834550949,0.05153392108971437,0.11680027903650159,0.05577434770824018,0.10749420475681051,0.0468417120756825
Empirical,en,Phi-4-mini-instruct,PMI_Prompt,0.9223890000000001,0.0021984066452269196,,,,,,,0.40698942749056866,0.09574643070963641,0.41166338982359757,0.10332946364755517,0.32186715688431333,0.12659960314286198,0.3309449123066722,0.1272973025656246
Empirical,en,Qwen3-0.6B,Direct_MEEP,0.5305909663809136,0.013069779213453658,,,,,,,0.12946331071042708,0.12721774102455916,0.16209165860649075,0.10673835922377457,0.22145005054653222,0.1001264367436117,0.26698290670515096,0.05544491253957433
Empirical,en,Qwen3-0.6B,InfoNCE_Pair,0.8632324666666668,0.0062477319111284724,,,,,,,0.10628228609517473,0.07953233444908253,0.057991563561733274,0.08716285184624964,0.09831341560510024,0.11692609197473332,0.0825339533294778,0.11659718223925257
Empirical,en,Qwen3-0.6B,InfoNCE_Prompt,0.8295793333333334,0.008545318741210756,,,,,,,0.17491424745914202,0.06914711762812431,0.18281437268141545,0.04767592018569971,0.00858937419076541,0.09248832258943397,0.04336964746007817,0.0713933913857302
Empirical,en,Qwen3-0.6B,KDE_Pair,0.8179883333333333,0.0021723093062964234,,,,,,,0.11297444220070121,0.08932887207055641,0.04087206631134949,0.07787738540652273,-0.020348333328409712,0.07947345769184667,-0.039120268785746246,0.0703216371230966
Empirical,en,Qwen3-0.6B,KDE_Prompt,0.7809486333333333,0.005020946975754021,,,,,,,0.21367666278797284,0.09201305166171014,0.3082572374957438,0.07062654593787222,0.07353805914615466,0.07651682986655826,0.1184626574460014,0.08847878465827481
Empirical,en,Qwen3-0.6B,MINE_Pair,0.8581885,0.012339701083629744,,,,,,,0.20031890870742966,0.06804813494917822,0.13703517253250957,0.07854519639165594,0.11137720003484608,0.060318752336109574,0.07755851729996395,0.08422827675954701
Empirical,en,Qwen3-0.6B,MINE_Prompt,0.8293010333333333,0.025595609679255116,,,,,,,0.25798778317608884,0.08143266915562258,0.18041305878878283,0.07305276057060575,0.1704220184309777,0.07683720963902005,0.1511516305146835,0.09661683916533355
Empirical,en,Qwen3-0.6B,PMI_Pair,0.7117262333333334,0.13721445668012616,,,,,,,0.07266376095452717,0.16962319187562663,0.08480169604705272,0.09615497647025002,0.05464740095093594,0.06403933556179388,0.0029824772267229766,0.0386977860644027
Empirical,en,Qwen3-0.6B,PMI_Prompt,0.8577601333333333,0.0056895744988336066,,,,,,,0.2856276714574271,0.07497946676712003,0.3238300105354707,0.06279660125223681,0.13058475575595963,0.05712462530538531,0.16556443885975977,0.05029510484065621
Empirical,en,Qwen3-1.7B,Direct_MEEP,,,,,,,,,-0.017605375712044874,0.08244926919247814,-0.04859564833416878,0.03985901642116947,0.019127955607557395,0.04942840233245269,0.029270384084200317,0.058841580375847725
Empirical,en,Qwen3-1.7B,InfoNCE_Pair,0.8601343333333332,0.0028523221728579797,,,,,,,0.047788154555130066,0.08737685319900688,0.06918433325891957,0.11905818152543272,0.1459518706365313,0.11164448535159353,0.1300253018058954,0.1330221855417331
Empirical,en,Qwen3-1.7B,InfoNCE_Prompt,0.8854366,0.005821022535221385,,,,,,,0.3213482311828256,0.07789788129888885,0.34452371987580277,0.043493296803243923,0.15012037709278309,0.04986055740351362,0.1927225850009604,0.030290688602644056
