dialog_key,annot_engaging_mean,annot_overall_mean,annot_relevant_mean,score_PMI_Pair,score_MINE_Pair,score_InfoNCE_Pair,score_PMI_Prompt,score_MINE_Prompt,score_InfoNCE_Prompt,score_KDE_Pair,score_KDE_Prompt
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,1.8,5.565695,-8.126428,2.5859902,3.393891,-1.3898563,6.043393,-1.527033,-0.18796016
human|en/fed-turn/fed-turn_eval.json,1.4,3.0,1.6,4.4439306,1.4010127,-3.6393151,0.07289114,-19.348785,-1.9740708,-1.4426578,-0.86266184
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.4,1.4687489,-12.794376,-4.1801167,-4.9150143,-19.9775,-10.001765,-1.1885666,-1.7469517
human|en/fed-turn/fed-turn_eval.json,1.4,2.8,2.0,8.843647,2.921181,3.1473553,-3.2094336,-19.939196,-5.0076795,-2.0587265,-0.63150024
human|en/fed-turn/fed-turn_eval.json,0.6,1.4,1.0,1.9665143,-9.668706,-3.0019855,-2.6451347,-19.898617,-5.9650607,-0.30713436,-1.0183415
human|en/fed-turn/fed-turn_eval.json,1.4,3.0,1.8,6.7230825,-5.1055746,6.257953,1.8035381,-16.394478,2.8947759,-1.5855856,-0.49868202
human|en/fed-turn/fed-turn_eval.json,1.2,2.6,1.5,9.413156,15.879614,2.4046109,0.43612057,-19.133156,5.099167,0.042180616,-1.2015129
human|en/fed-turn/fed-turn_eval.json,0.0,0.8,0.2,3.96071,-8.910426,-1.8564038,4.2214446,6.414681,6.6468167,-0.32950893,-0.601154
human|en/fed-turn/fed-turn_eval.json,0.2,0.2,0.2,-3.8630443,-18.288248,-4.25711,2.9892254,-6.870789,6.741232,-1.5227042,-0.27264115
human|en/fed-turn/fed-turn_eval.json,1.8,3.0,2.0,7.481589,5.36246,4.4737873,3.0872986,-9.836932,4.6891456,-0.7760347,-0.29560828
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,1.8,0.34424955,-13.903101,-2.394397,1.6987945,-19.234047,3.31583,-2.9151092,-0.6954413
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,1.6,10.241442,8.94787,3.8239412,3.2069197,-1.373201,3.4470215,-0.044855934,-0.30447224
